"year","avgTemp"
1939,65.11
1940,72.29
1941,68.46
1942,71.87
1943,76.11
1944,73.56
1945,72.6
1946,72.09
1947,69.21
1948,69.08
1949,69.66
1950,69.17
1951,70.09
1952,69.15
1953,66.28
1954,64.17
1955,64.79
1956,62.31
1957,61.35
1958,61.41
1959,65.81
1960,65.5
1961,65.94
1962,65.61
1963,65.91
1964,65.42
1965,64.95
1966,63.32
1967,62.13
1968,63.22
1969,64.72
1970,64.59
1971,63.23
1972,63.5
1973,68.37
1974,67.56
1975,67.97
1976,68.76
1977,70.01
1978,68.88
1979,68.51
1980,68.74
1981,68.58
1982,69.34
1983,69.31
1984,68.31
1985,68.44
1986,68.36
1987,68.66
1988,68.42
1989,68.69
1990,66.48
1991,66.29
1992,66.31
1993,66.92
1994,66.23
1995,65.95
1996,65.18
1997,65.27
1998,65.95
1999,65.64
2000,65.08
2001,64.92
2002,65.28
2003,65.63
2004,65.12
2005,65.97
2006,64.18
2007,64.61
2008,63.75
2009,64.93
